INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('1','B1','Borivali','6-8 AM',125,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('159','A2','Andheri','6-8 PM',265,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('160','A2','Andheri','8-10 PM',275,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('161','BA1','Bandra','6-8 AM',245,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('162','BA1','Bandra','8-10 AM',250,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('163','BA1','Bandra','10-12 AM',235,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('164','BA1','Bandra','12-2 PM',225,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('165','BA1','Bandra','2-4 PM',215,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('166','BA1','Bandra','4-6 PM',250,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('167','BA1','Bandra','6-8 PM',265,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('168','BA1','Bandra','8-10 PM',280,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('169','BA1','Bandra','6-8 AM',240,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('170','BA1','Bandra','8-10 AM',255,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('171','BA1','Bandra','10-12 AM',245,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('172','BA1','Bandra','12-2 PM',218,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('173','BA1','Bandra','2-4 PM',224,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('174','BA1','Bandra','4-6 PM',257,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('175','BA1','Bandra','6-8 PM',259,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('176','BA1','Bandra','8-10 PM',285,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('177','BA2','Bandra','6-8 AM',230,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('178','BA2','Bandra','8-10 AM',245,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('179','BA2','Bandra','10-12 AM',235,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('180','BA2','Bandra','12-2 PM',213,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('181','BA2','Bandra','2-4 PM',207,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('182','BA2','Bandra','4-6 PM',240,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('183','BA2','Bandra','6-8 PM',266,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('184','BA2','Bandra','8-10 PM',268,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('185','BA2','Bandra','6-8 AM',234,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('186','BA2','Bandra','8-10 AM',250,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('187','BA2','Bandra','10-12 AM',245,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('188','BA2','Bandra','12-2 PM',209,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('189','BA2','Bandra','2-4 PM',219,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('190','BA2','Bandra','4-6 PM',245,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('191','BA2','Bandra','6-8 PM',254,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('192','BA2','Bandra','8-10 PM',260,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('193','D1','Dadar','6-8 AM',255,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('194','D1','Dadar','8-10 AM',275,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('195','D1','Dadar','10-12 AM',255,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('196','D1','Dadar','12-2 PM',235,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('197','D1','Dadar','2-4 PM',225,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('198','D1','Dadar','4-6 PM',250,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('199','D1','Dadar','6-8 PM',265,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('200','D1','Dadar','8-10 PM',285,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('201','D1','Dadar','6-8 AM',250,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('202','D1','Dadar','8-10 AM',260,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('203','D1','Dadar','10-12 AM',245,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('204','D1','Dadar','12-2 PM',245,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('205','D1','Dadar','2-4 PM',230,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('206','D1','Dadar','4-6 PM',265,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('207','D1','Dadar','6-8 PM',275,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('208','D1','Dadar','8-10 PM',278,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('209','D2','Dadar','6-8 AM',250,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('210','D2','Dadar','8-10 AM',265,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('211','D2','Dadar','10-12 AM',245,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('212','D2','Dadar','12-2 PM',230,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('213','D2','Dadar','2-4 PM',220,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('214','D2','Dadar','4-6 PM',250,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('215','D2','Dadar','6-8 PM',276,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('216','D2','Dadar','8-10 PM',288,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('217','D2','Dadar','6-8 AM',254,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('218','D2','Dadar','8-10 AM',255,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('219','D2','Dadar','10-12 AM',248,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('220','D2','Dadar','12-2 PM',237,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('221','D2','Dadar','2-4 PM',210,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('222','D2','Dadar','4-6 PM',267,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('223','D2','Dadar','6-8 PM',266,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('224','D2','Dadar','8-10 PM',282,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('225','E1','Elphinstone','6-8 AM',255,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('226','E1','Elphinstone','8-10 AM',270,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('227','E1','Elphinstone','10-12 AM',245,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('228','E1','Elphinstone','12-2 PM',225,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('229','E1','Elphinstone','2-4 PM',215,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('230','E1','Elphinstone','4-6 PM',260,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('231','E1','Elphinstone','6-8 PM',275,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('232','E1','Elphinstone','8-10 PM',280,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('233','E1','Elphinstone','6-8 AM',250,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('234','E1','Elphinstone','8-10 AM',267,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('235','E1','Elphinstone','10-12 AM',255,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('236','E1','Elphinstone','12-2 PM',235,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('237','E1','Elphinstone','2-4 PM',218,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('238','E1','Elphinstone','4-6 PM',252,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('239','E1','Elphinstone','6-8 PM',285,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('240','E1','Elphinstone','8-10 PM',276,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('241','E2','Elphinstone','6-8 AM',250,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('242','E2','Elphinstone','8-10 AM',265,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('243','E2','Elphinstone','10-12 AM',245,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('244','E2','Elphinstone','12-2 PM',233,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('245','E2','Elphinstone','2-4 PM',227,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('246','E2','Elphinstone','4-6 PM',257,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('247','E2','Elphinstone','6-8 PM',266,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('248','E2','Elphinstone','8-10 PM',278,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('249','E2','Elphinstone','6-8 AM',255,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('250','E2','Elphinstone','8-10 AM',260,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('251','E2','Elphinstone','10-12 AM',255,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('252','E2','Elphinstone','12-2 PM',248,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('253','E2','Elphinstone','2-4 PM',235,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('254','E2','Elphinstone','4-6 PM',260,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('255','E2','Elphinstone','6-8 PM',280,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('256','E2','Elphinstone','8-10 PM',272,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('257','C1','Churchgate','6-8 AM',275,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('258','C1','Churchgate','8-10 AM',280,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('259','C1','Churchgate','10-12 AM',255,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('260','C1','Churchgate','12-2 PM',255,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('261','C1','Churchgate','2-4 PM',245,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('262','C1','Churchgate','4-6 PM',270,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('263','C1','Churchgate','6-8 PM',275,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('264','C1','Churchgate','8-10 PM',290,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('265','C1','Churchgate','6-8 AM',260,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('266','C1','Churchgate','8-10 AM',274,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('267','C1','Churchgate','10-12 AM',260,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('268','C1','Churchgate','12-2 PM',245,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('269','C1','Churchgate','2-4 PM',255,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('270','C1','Churchgate','4-6 PM',260,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('271','C1','Churchgate','6-8 PM',285,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('272','C1','Churchgate','8-10 PM',287,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('273','C2','Churchgate','6-8 AM',250,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('274','C2','Churchgate','8-10 AM',275,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('275','C2','Churchgate','10-12 AM',265,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('276','C2','Churchgate','12-2 PM',243,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('277','C2','Churchgate','2-4 PM',247,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('278','C2','Churchgate','4-6 PM',260,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('279','C2','Churchgate','6-8 PM',266,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('280','C2','Churchgate','8-10 PM',278,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('281','C2','Churchgate','6-8 AM',270,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('282','C2','Churchgate','8-10 AM',280,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('283','C2','Churchgate','10-12 AM',260,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('284','C2','Churchgate','12-2 PM',239,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('285','C2','Churchgate','2-4 PM',240,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('286','C2','Churchgate','4-6 PM',267,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('287','C2','Churchgate','6-8 PM',276,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('288','C2','Churchgate','8-10 PM',283,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('289','M1','Mumbai Central','6-8 AM',165,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('290','M1','Mumbai Central','8-10 AM',170,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('291','M1','Mumbai Central','10-12 AM',145,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('292','M1','Mumbai Central','12-2 PM',145,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('293','M1','Mumbai Central','2-4 PM',155,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('294','M1','Mumbai Central','4-6 PM',170,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('295','M1','Mumbai Central','6-8 PM',195,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('296','M1','Mumbai Central','8-10 PM',180,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('297','M1','Mumbai Central','6-8 AM',155,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('298','M1','Mumbai Central','8-10 AM',175,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('299','M1','Mumbai Central','10-12 AM',140,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('300','M1','Mumbai Central','12-2 PM',148,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('301','M1','Mumbai Central','2-4 PM',142,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('302','M1','Mumbai Central','4-6 PM',175,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('303','M1','Mumbai Central','6-8 PM',186,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('304','M1','Mumbai Central','8-10 PM',187,'Yesterday');


INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('305','M2','Mumbai Central','6-8 AM',180,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('306','M2','Mumbai Central','8-10 AM',205,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('307','M2','Mumbai Central','10-12 AM',175,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('308','M2','Mumbai Central','12-2 PM',153,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('309','M2','Mumbai Central','2-4 PM',147,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('310','M2','Mumbai Central','4-6 PM',157,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('311','M2','Mumbai Central','6-8 PM',166,'Today');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('312','M2','Mumbai Central','8-10 PM',178,'Today');

INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('313','M2','Mumbai Central','6-8 AM',190,'Yesterday');
INSERT INTO `timedetails`(`SrNo`, `BridgeNo`, `StationName`, `Time`, `NoOfPerson`, `Day`) VALUES ('314','M2','Mumbai Central','8-10 AM',200,'Yesterday');
